t,x1,y1,x2,y2,x3,y3,x4,y4
12355200,1290029.562,2129054.505,-1.184138427e+11,9.000718895e+10,-6.761478411e+10,-8.594600127e+10,5.710433809e+10,2.18751319e+11
12441600,1289596.152,2155388.617,-1.199758336e+11,8.794352388e+10,-6.525279389e+10,-8.778535159e+10,5.506983102e+10,2.192598904e+11
12528000,1288934.908,2181645.632,-1.215017044e+11,8.585338337e+10,-6.284139302e+10,-8.955822876e+10,5.303060047e+10,2.197496552e+11
12614400,1288048.984,2207820.478,-1.229910089e+11,8.37374058e+10,-6.03824404e+10,-9.12633373e+10,5.098682061e+10,2.202205683e+11
12700800,1286941.645,2233908.186,-1.244433118e+11,8.1596237e+10,-5.787782713e+10,-9.289943302e+10,4.893866609e+10,2.206725865e+11
12787200,1285616.265,2259903.89,-1.258581901e+11,7.943053004e+10,-5.532947519e+10,-9.446532374e+10,4.688631198e+10,2.211056679e+11
12873600,1284076.327,2285802.834,-1.272352319e+11,7.7240945e+10,-5.2739336e+10,-9.595986993e+10,4.482993377e+10,2.215197724e+11
12960000,1282325.419,2311600.37,-1.285740376e+11,7.502814874e+10,-5.010938909e+10,-9.738198537e+10,4.276970736e+10,2.219148615e+11
13046400,1280367.227,2337291.962,-1.298742193e+11,7.279281471e+10,-4.744164066e+10,-9.873063777e+10,4.070580903e+10,2.222908983e+11
13132800,1278205.538,2362873.187,-1.311354013e+11,7.053562271e+10,-4.473812216e+10,-1.000048493e+11,3.863841543e+10,2.226478475e+11
13219200,1275844.232,2388339.738,-1.323572199e+11,6.825725868e+10,-4.200088891e+10,-1.012036972e+11,3.656770358e+10,2.229856756e+11
13305600,1273287.281,2413687.427,-1.335393238e+11,6.595841446e+10,-3.923201866e+10,-1.023263141e+11,3.449385084e+10,2.233043507e+11
13392000,1270538.746,2438912.184,-1.34681374e+11,6.363978758e+10,-3.643361014e+10,-1.033718889e+11,3.241703489e+10,2.236038425e+11
13478400,1267602.77,2464010.059,-1.357830439e+11,6.130208103e+10,-3.360778168e+10,-1.043396666e+11,3.033743373e+10,2.238841224e+11
13564800,1264483.583,2488977.228,-1.368440194e+11,5.894600302e+10,-3.075666969e+10,-1.052289493e+11,2.825522564e+10,2.241451633e+11
13651200,1261185.489,2513809.99,-1.37863999e+11,5.657226678e+10,-2.788242727e+10,-1.060390961e+11,2.617058921e+10,2.243869401e+11
13737600,1257712.87,2538504.768,-1.388426938e+11,5.418159029e+10,-2.498722276e+10,-1.067695239e+11,2.408370325e+10,2.246094291e+11
13824000,1254070.178,2563058.115,-1.397798279e+11,5.17746961e+10,-2.207323825e+10,-1.074197073e+11,2.199474687e+10,2.248126083e+11
13910400,1250261.934,2587466.711,-1.406751378e+11,4.935231105e+10,-1.914266815e+10,-1.079891791e+11,1.990389936e+10,2.249964575e+11
13996800,1246292.725,2611727.369,-1.415283731e+11,4.691516607e+10,-1.619771772e+10,-1.084775304e+11,1.781134027e+10,2.25160958e+11
14083200,1242167.198,2635837.03,-1.423392963e+11,4.446399593e+10,-1.324060161e+10,-1.088844111e+11,1.571724933e+10,2.25306093e+11
14169600,1237890.06,2659792.769,-1.431076827e+11,4.199953904e+10,-1.02735424e+10,-1.092095297e+11,1.362180645e+10,2.254318472e+11
14256000,1233466.071,2683591.794,-1.438333209e+11,3.952253717e+10,-7298769112,-1.094526536e+11,1.152519172e+10,2.255382071e+11
14342400,1228900.045,2707231.448,-1.445160123e+11,3.703373524e+10,-4318515769,-1.096136094e+11,9427585375,2.256251607e+11
14428800,1224196.841,2730709.209,-1.451555714e+11,3.453388111e+10,-1335019905,-1.096922829e+11,7329167800,2.25692698e+11
14515200,1219361.364,2754022.691,-1.45751826e+11,3.202372529e+10,1649478898,-1.096886188e+11,5230119488,2.257408103e+11
14601600,1214398.56,2777169.646,-1.46304617e+11,2.950402077e+10,4632740481,-1.096026213e+11,3130621040,2.25769491e+11
14688000,1209313.41,2800147.963,-1.468137983e+11,2.697552274e+10,7612525577,-1.094343536e+11,1030853145,2.257787349e+11
14774400,1204110.933,2822955.669,-1.472792372e+11,2.443898837e+10,1.058659728e+10,-1.091839383e+11,-1069003435,2.257685386e+11
14860800,1198796.174,2845590.931,-1.477008142e+11,2.189517658e+10,1.355272253e+10,-1.088515569e+11,-3168767881,2.257389004e+11
14947200,1193374.208,2868052.053,-1.480784229e+11,1.934484781e+10,1.650867354e+10,-1.084374501e+11,-5268259335,2.256898203e+11
15033600,1187850.131,2890337.482,-1.484119704e+11,1.678876379e+10,1.945222932e+10,-1.079419172e+11,-7367296916,2.256213e+11
15120000,1182229.061,2912445.802,-1.487013767e+11,1.422768728e+10,2.238117709e+10,-1.073653165e+11,-9465699734,2.255333428e+11
15206400,1176516.129,2934375.738,-1.489465754e+11,1.166238188e+10,2.529331376e+10,-1.067080647e+11,-1.156328691e+10,2.254259538e+11
15292800,1170716.482,2956126.156,-1.491475131e+11,9093611756,2.818644742e+10,-1.059706367e+11,-1.365987759e+10,2.252991399e+11
15379200,1164835.272,2977696.063,-1.493041498e+11,6522141451,3.105839873e+10,-1.051535656e+11,-1.575529095e+10,2.251529095e+11
15465600,1158877.66,2999084.604,-1.494164586e+11,3948735621,3.390700244e+10,-1.042574421e+11,-1.784934625e+10,2.249872727e+11
15552000,1152848.806,3020291.066,-1.494844258e+11,1374158824,3.673010879e+10,-1.032829143e+11,-1.994186279e+10,2.248022415e+11
15638400,1146753.87,3041314.876,-1.49508051e+11,-1200824717,3.952558499e+10,-1.022306876e+11,-2.203265999e+10,2.245978295e+11
15724800,1140598.005,3062155.601,-1.49487347e+11,-3775451334,4.229131661e+10,-1.011015239e+11,-2.412155736e+10,2.243740519e+11
15811200,1134386.357,3082812.945,-1.494223396e+11,-6348958147,4.50252091e+10,-9.989624129e+10,-2.620837454e+10,2.241309258e+11
